rigid,flexible,id,glide,ifd
4.47154,6.94242,2ACR-1AH3,6.50000,0.90000
5.94412,0.47424,1DM2-1AQ1,6.20000,0.80000
0.70108,0.69396,1AQ1-1DM2,0.60000,0.80000
7.33544,0.86047,3PGH-1CX2,11.10000,1.00000
1.61049,1.85289,1CX2-3PGH,6.60000,1.00000
1.50867,1.98896,1ERR-3ERT,5.30000,1.00000
2.53427,1.60023,3ERT-1ERR,2.30000,1.40000
1.96129,1.75961,1KSN-1XKA,9.30000,1.50000
2.39750,1.90173,1XKA-1KSN,5.30000,1.50000
1.55993,1.52232,1RTH-1C1C,2.50000,1.30000
4.94905,5.60846,1C1C-1RTH,12.00000,2.50000
2.84557,5.82045,1NSC-1A4Q,3.90000,0.80000
0.44259,5.17815,1A4Q-1NSC,1.00000,1.70000
2.07450,5.31275,1FM9-2PRG,9.10000,1.80000
10.14646,9.45290,2PRG-1FM9,9.80000,3.00000
1.40812,1.88367,1KR6-1KJO,1.10000,1.30000
3.45817,3.39692,1KJO-1KR6,3.50000,3.20000
3.91695,5.12067,1KIM-1KI4,4.70000,0.40000
0.45368,3.64408,1KI4-1KIM,0.50000,1.20000
